Brand Name,Product,Price,Processor,Memory,Storage,Graphics,Display ,OS
Acer,Acer Chromebook 512 - C851T-C6B2,$ CA  489.99,IntelÂ® CeleronÂ® N4020 processor with integrated Wi-Fi 5,"12"" IPS ComfyView 1366 x 912 resolution Touchscreen display",Intel UHD Graphics 600,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 712 - C871T-C14R,$ CA  489.99,IntelÂ® CeleronÂ® 5205U processor Dual-core 1.90 GHz,"12"" HD+ (1366 x 912) IPS display",Intel UHD Graphics,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 315 - CB315-3H-C7LJ,$ CA  349.99,IntelÂ® CeleronÂ® N4020 processor,IntelÂ® UHD Graphics 600,"15.6"" HD (1366 x 768) Acer ComfyView display",8 GB standard memory,64 GB Flash memory,Chrome OS
Acer,Aspire Go 15 Laptop - AG15-31P-C99T,$ CA  399.99,IntelÂ® N100 processor Quad-core,4 GB LPDDR5,128 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home in S Mode
Acer,Aspire Go 15 Laptop - AG15-31P-C6FC,$ CA  549.99,IntelÂ® N100 processor Quad-core,8 GB LPDDR5,512 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home
Acer,Aspire 3 Laptop - A315-59-32X9,$ CA  749.99,IntelÂ® Coreâ„¢ i3-1215U processor Hexa-core 1.20 GHz,"8 GB, DDR4 SDRAM",256 GB SSD,IntelÂ® IrisÂ® Xe Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9",Windows 11 Home
Acer,Aspire 5 Laptop - A515-58M-37S4,$ CA  749.99,IntelÂ® Coreâ„¢ i3-1315U processor Hexa-core 1.20 GHz,"8 GB, LPDDR5",512 GB SSD,"15.6"" Full HD Acer ComfyView display",IntelÂ® UHD Graphics shared memory,Windows 11 Home
Acer,Aspire 15 Laptop - A15-41M-R2S6,$ CA  849.99,AMD Ryzenâ„¢ 5 7535U processor Hexa-core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,AMD Radeonâ„¢ Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home
Acer,Aspire 5 Laptop - A515-45-R8EA,$ CA  999.99,AMD Ryzenâ„¢ 7 5700U processor Octa-core 1.80 GHz,"8 GB, DDR4 SDRAM",512 GB SSD,AMD Radeonâ„¢ RX Vega 8 shared memory,"15.6"" Full HD (1920 x 1080) 16:9",Windows 11 Home
Acer,Acer Chromebook 511 Laptop - C741L-S40D,$ CA  649.99,Qualcomm Kryo 468 processor,"Wi-Fi 5, Bluetooth 5.0 and 3G cellular connectivity",512 GB,4 GB standard memory; 32 GB Flash storage,"11.6"" IPS ComfyView 1366 x 768 display; Qualcomm Adreno 618 graphics",Chrome OS
Acer,Acer Chromebook 512 - C851T-C6B2,$ CA  489.99,IntelÂ® CeleronÂ® N4020 processor with integrated Wi-Fi 5,"12"" IPS ComfyView 1366 x 912 resolution Touchscreen display",Intel UHD Graphics 600,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 712 - C871T-C14R,$ CA  489.99,IntelÂ® CeleronÂ® 5205U processor Dual-core 1.90 GHz,"12"" HD+ (1366 x 912) IPS display",Intel UHD Graphics,4 GB standard memory,32 GB Flash storage,Chrome OS
Acer,Acer Chromebook 315 - CB315-3H-C7LJ,$ CA  349.99,IntelÂ® CeleronÂ® N4020 processor,IntelÂ® UHD Graphics 600,"15.6"" HD (1366 x 768) Acer ComfyView display",8 GB standard memory,64 GB Flash memory,Chrome OS
Acer,Aspire Go 15 Laptop - AG15-31P-C99T,$ CA  399.99,IntelÂ® N100 processor Quad-core,4 GB LPDDR5,128 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home in S Mode
Acer,Aspire Go 15 Laptop - AG15-31P-C6FC,$ CA  549.99,IntelÂ® N100 processor Quad-core,8 GB LPDDR5,512 GB SSD,IntelÂ® UHD Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home
Acer,Aspire 3 Laptop - A315-59-32X9,$ CA  749.99,IntelÂ® Coreâ„¢ i3-1215U processor Hexa-core 1.20 GHz,"8 GB, DDR4 SDRAM",256 GB SSD,IntelÂ® IrisÂ® Xe Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9",Windows 11 Home
Acer,Aspire 5 Laptop - A515-58M-37S4,$ CA  749.99,IntelÂ® Coreâ„¢ i3-1315U processor Hexa-core 1.20 GHz,"8 GB, LPDDR5",512 GB SSD,"15.6"" Full HD Acer ComfyView display",IntelÂ® UHD Graphics shared memory,Windows 11 Home
Acer,Aspire 15 Laptop - A15-41M-R2S6,$ CA  849.99,AMD Ryzenâ„¢ 5 7535U processor Hexa-core 2.90 GHz,8 GB DDR5 SDRAM,512 GB SSD,AMD Radeonâ„¢ Graphics shared memory,"15.6"" Full HD (1920 x 1080) 16:9 60 Hz",Windows 11 Home
Acer,Aspire 5 Laptop - A515-45-R8EA,$ CA  999.99,AMD Ryzenâ„¢ 7 5700U processor Octa-core 1.80 GHz,"8 GB, DDR4 SDRAM",512 GB SSD,AMD Radeonâ„¢ RX Vega 8 shared memory,"15.6"" Full HD (1920 x 1080) 16:9",Windows 11 Home
Apple,MacBook Air M1,$1199,Apple M1,8 GB,256 GB,Integrated,"13.3""",macOS
Apple,MacBook Air M2,$1449,Apple M2,8 GB,256 GB,Integrated,"13.6""",macOS
Apple,MacBook Air M3,$1299,Apple M3,8 GB,256 GB,Integrated,"13.6""",macOS
Apple,"MacBook Air M3 (15"")",$1549,Apple M3,8 GB,256 GB,Integrated,"15.3""",macOS
Apple,"MacBook Air M4 (13"")",$1399,Apple M4,8 GB,256 GB,Integrated,"13.6"" Liquid Retina",macOS
Apple,"MacBook Air M4 (15"")",$1649,Apple M4,8 GB,256 GB,Integrated,"15.3"" Liquid Retina",macOS
Apple,"MacBook Pro 14"" M3",$2199,Apple M3,8 GB,512 GB,Integrated,"14.2"" Liquid Retina XDR",macOS
Apple,"MacBook Pro 14"" M3 Pro",$2799,Apple M3 Pro,18 GB,512 GB,Integrated,"14.2"" Liquid Retina XDR",macOS
Apple,"MacBook Pro 14"" M4",$2299,Apple M4,16 GB,512 GB,Integrated,"14.2"" Liquid Retina XDR",macOS
Apple,"MacBook Pro 14"" M4 Pro",$2999,Apple M4 Pro,18 GB,512 GB,Integrated,"14.2"" Liquid Retina XDR",macOS
Apple,"MacBook Pro 16"" M4 Pro",$3499,Apple M4 Pro,18 GB,512 GB,Integrated,"16.2"" Liquid Retina XDR",macOS
Apple,"MacBook Pro 16"" M4 Max",$4699,Apple M4 Max,36 GB,1 TB,Integrated,"16.2"" Liquid Retina XDR",macOS
Apple,"iMac 24"" M1",$1599,Apple M1,8 GB,256 GB,Integrated,"23.5"" 4.5K Retina",macOS
Apple,"iMac 24"" M4",$1699,Apple M4,8 GB,256 GB,Integrated,"23.5"" 4.5K Retina",macOS
Apple,"iMac 24"" M4 (Upgraded)",$1899,Apple M4,8 GB,512 GB,Integrated,"23.5"" 4.5K Retina",macOS
Apple,iPad (10th Gen),$599,A14 Bionic,4 GB,64 GB,Integrated,"10.9"" Liquid Retina",iPadOS
Apple,"iPad Air M2 (11"")",$899,Apple M2,8 GB,128 GB,Integrated,"11"" Liquid Retina",iPadOS
Apple,"iPad Air M2 (13"")",$1199,Apple M2,8 GB,128 GB,Integrated,"13"" Liquid Retina",iPadOS
Apple,"iPad Pro 11"" M4",$1199,Apple M4,8 GB,256 GB,Integrated,"11"" Ultra Retina XDR OLED",iPadOS
Apple,"iPad Pro 13"" M4",$1549,Apple M4,8 GB,256 GB,Integrated,"13"" Ultra Retina XDR OLED",iPadOS
Asus,ASUS Vivobook S 16 Flip Laptop (TP3604),$949.99,Up to 13th Gen Intel CoreTM i9 processor,Up to 16 GB memory,Up to 1 TB SSD storage,NVIDIA Advanced Optimus,Up to 16'' 3.2K 120 Hz NanoEdge display,Windows 11 Home - ASUS recommends Windows 11 Pro for business
Asus,ROG Strix SCAR 18 (2025) G835LW-XS97,$5299.00,Intel CoreTM Ultra 9 Processor 275HX,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,2TB M.2 NVMeTM PCIe 4.0 Performance SSD storage,NVIDIA GeForce RTXTM 5080 Laptop GPU,18 2.5K (2560 x 1600  WQXGA) 16:10 240Hz ROG Nebula HDR Display,Windows 11 Pro
Asus,ROG Strix SCAR 16 (2025) G635LX-XS97,$5999.00,Intel CoreTM Ultra 9 Processor 275HX,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,2TB M.2 NVMeTM PCIe 4.0 Performance SSD storage,NVIDIA GeForce RTXTM 5090 Laptop GPU,16 2.5K (2560 x 1600  WQXGA) 16:10 240Hz ROG Nebula HDR Display,Windows 11 Pro
Asus,ROG Strix SCAR 16 (2025) G635LX-XS99-CA,$6699.00,Intel CoreTM Ultra 9 Processor 275HX,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,2TB + 2TB M.2 NVMeTM PCIe 4.0 Performance SSD storage (RAID 0),NVIDIA GeForce RTXTM 5090 Laptop GPU,16 2.5K (2560 x 1600  WQXGA) 16:10 240Hz ROG Nebula HDR Display,Windows 11 Pro
Asus,ASUS TUF Gaming F16 (2025),$2099.00,Up to Intel CoreTM Ultra 9 Processor 275HX,Up to 8 GB memory,Up to 2TB PCIe 4.0 NVMeTM M.2 SSD,Up to NVIDIA GeForce RTXTM 5070 Laptop GPU,Touchscreen  ASUS Pen support,Windows 11 Home
Asus,ASUS TUF Gaming A18 (2025),$2199.00,AMD RyzenTM 7 260 Processor,Up to 8 GB memory,Up to 2TB PCIe 4.0 NVMeTM M.2 SSD,NVIDIA GeForce RTXTM 5070 Laptop GPU,Touchscreen  ASUS Pen support,Windows 11 Home
Asus,ROG Strix SCAR 16 Gaming Laptop (2024) G634JZR-XS96,$3999.00,Intel CoreTM i9-14900HX Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 3.0 Performance SSD storage,NVIDIA GeForce RTXTM 4080 Laptop GPU,16 2.5K (2560 x 1600  WQXGA) 16:10 240Hz ROG Nebula HDR Display,Windows 11 Pro
Asus,ROG Strix G18 Gaming Laptop (2024) G814JVR-BS91-CB,$2699.00,Intel CoreTM i9-14900HX Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,18 2.5K (2560 x 1600  WQXGA) 16:10 240Hz ROG Nebula Display,Windows 11 Home
Asus,ROG Strix G18 Gaming Laptop (2024) G814JIR-XS96,$2599.00,Intel CoreTM i9-14900HX Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4070 Laptop GPU,18 2.5K (2560 x 1600  WQXGA) 16:10 240Hz ROG Nebula Display,Windows 11 Pro
Asus,ROG Strix G16 Gaming Laptop (2024) G614JIR-AS91-CA,$2599.00,Intel CoreTM i9-14900HX Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4070 Laptop GPU,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
Asus,ASUS TUF Gaming A16 (2024),$1549.00,AMD RyzenTM 9 7845HX,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,Touchscreen  ASUS Pen support,Dolby Atmos
Asus,ASUS TUF Gaming A15 (2024),$1799.00,AMD RyzenTM 9 8945H Processor,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,15.6-inch QHD 165Hz IPS-level display,Dolby Atmos
Asus,ASUS ExpertBook B5 (B5404),$1599.00,Up to Intel vPro with Intel CoreTM Ultra 7 processor,Up to 8 GB memory,Dual-SSD RAID support up to 2 TB capacity,Up to NVIDIA GeForce RTX 2050 discrete graphics,Touchscreen  ASUS Pen support,Dedicated Microsoft Copilot key for more AI exploration
Asus,ASUS Zenbook A14 (UX3407); Copilot+ PC,$1189.99,Up to Snapdragon X Elite processor,Up to 32 GB LPDDR5x 8533 MHz RAM,Up to 1 TB PCIe Gen 4 SSD,NVIDIA Advanced Optimus,16:10 FHD OLED display,Windows 11 Pro - ASUS recommends Windows 11 Pro for business
Asus,ASUS Chromebook CM30 Detachable (CM3001),$399.00,Up to MediaTekTM 8186 Processor,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,10.5 WUXGA display,ChromeOS
Asus,ROG Strix Scope II 96 Wireless,$199.99,AMD RyzenTM 9 8945HS Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
Asus,ROG XG Mobile (2023),$1699.00,AMD RyzenTM 9 8945HS Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,ROG XG Mobile  GC33  NVIDIA GeForce RTX 4090,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
Asus,ExpertBook B7 Flip (B7402  13th Gen Intel),$2399.00,Up to 13th Gen Intel CoreTM i7 processor with vPro support,Up to 64 GB DDR5 memory,Up to 2 TB PCIe 4.0 SSD storage,Up to NVIDIA GeForce MX330,Up to 16:10 QHD+ display,Windows 11 Pro
Asus,ROG Strix G17 Gaming Laptop (2023) G713PV-DS91-CA,$2199.00,AMD RyzenTM 9 7945HX Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
Asus,ROG Harpe Ace Aim Lab Edition,$149.99,AMD RyzenTM 9 8945HS Processor,The ultra-lightweight ROG Harpe Ace Aim Lab Edition is a 54-gram wireless gaming mouse with a pro-tested form factor  36 000-dpi ROG AimPoint optical sensor  ROG SpeedNova wireless technology  tri-mode connectivity  ROG Micro Switches  five programmable buttons  and synergy profile setting functions with the Aim Lab Settings Optimizer.,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
Asus,ROG Azoth,$329.99,AMD RyzenTM 9 8945HS Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,ROG Azoth gaming custom keyboard with 75 keyboard form factor  gasket mount  three-layer dampening foam and metal top cover  highly customizable with hot-swappable pre-lubed ROG NX mechanical switches  ROG keyboard stabilizers  PBT doubleshot keycaps and lube kit  tri-mode connection with 2.4 GHz SpeedNova technology  OLED display  three-way control knob  three tilt angles  and Mac support,Windows 11 Home
Asus,ASUS Vivobook Go 15 (L510),$329.00,Up to 13th Gen Intel CoreTM i9 processor,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,NanoEdge display,Windows 11 Home in S Mode - ASUS recommends Windows 11 Pro for business
Asus,ASUS TUF Gaming A16 Advantage Edition (2023),$1499.00,Up to AMD RadeonTM RX7700S Mobile Graphics,Up to 2TB PCIe Gen4x4 SSD  DDR5 RAM,16GB eMMC storage,NVIDIA Advanced Optimus,Up to QHD 240Hz 16-inch display,Windows 11 Home
Asus,ASUS TUF Gaming A17 (2023),$1349.00,AMD RyzenTM 7040 Series Processor,Up to 8 GB memory,16GB eMMC storage,Mux Switch with NVIDIA Advanced Optimus,Touchscreen  ASUS Pen support,Windows 11 Home
Asus,ROG Archer Backpack 17,$289.00,AMD RyzenTM 9 8945HS Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
Asus,ROG Delta S Animate,$329.99,AMD RyzenTM 9 8945HS Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 4060 Laptop GPU,Lightweight USB-C gaming headset with customizable AniMe MatrixTM display  hi-fi ESS 9281 Quad DACTM  MQA  AI Noise-Canceling Mic  compatible with PCs  PlayStation 5  Nintendo SwitchTM,Windows 11 Home
Asus,ASUS Vivobook 15 (X1504),$799.00,Up to 12th Intel CoreTM i7 processor,Up to 16 GB DDR4 memory,Up to 1 TB SSD storage,NVIDIA Advanced Optimus,Touchscreen  ASUS Pen support,Windows 11 Home - ASUS recommends Windows 11 Pro for business
Asus,ASUS Vivobook 17 (X1704),$849.00,Up to 12th Intel CoreTM i7 processor,Up to 16 GB DDR4 memory,Up to 1 TB SSD storage,NVIDIA Advanced Optimus,Touchscreen  ASUS Pen support,Windows 11 Home - ASUS recommends Windows 11 Pro for business
Asus,ASUS Chromebook Flip CR1 (CR1100),$449.00,Up to Intel Pentium Silver N6000 Processor,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,Touchscreen  ASUS Pen support,ChromeOS
Asus,ASUS Chromebook CR1 (CR1100),$379.00,Up to Intel Pentium Silver N6000 Processor,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,TUV Rheinland certified display,ChromeOS
Asus,ASUS Chromebook CX1 (CX1700),$499.00,Up to 13th Gen Intel CoreTM i9 processor,Up to 8 GB memory,16GB eMMC storage,NVIDIA Advanced Optimus,Anti-glare display,ChromeOS
Asus,ROG Zephyrus G14 (2025) GA403WR-DS96-CA,$3699.00,AMD RyzenTM AI 9 HX 370 Processor,ROG Chakram X wireless RGB gaming mouse with next-gen 36 000 dpi ROG AimPoint optical sensor  8000 Hz polling rate  low-latency tri-mode connectivity (RF 2.4 GHz / Bluetooth / wired)  11 programmable buttons  an analog joystick and hot-swappable micro switch sockets (mechanical / optical ).,1TB M.2 NVMeTM PCIe 4.0 SSD storage,NVIDIA GeForce RTXTM 5070 Ti Laptop GPU,14 3K (2880 x 1800) 16:10 120Hz OLED ROG Nebula Display,Windows 11 Home
